Tipo;Utilizador;Data de Início;Tempo de Toque;Duração;Data de Fim;Origem;Destino;Destino Final;Serviço;Telefone de Origem;Tipo de localização;Atendida;Tipo de Telefone;Contexto de Acesso da Chamada;Identificação Chamada;Identificador Global da Chamada;País;Causa de Não Atendimento;Total Chamadas da Origem
Chamada recebida;260283/962878547;2025-03-30 14:39:34;0:00:18;0:00:33;2025-03-30 14:40:24;'+35191542****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;Terminal Móvel;'00000011743343550330143934000014041802';'f16ad00c-f165-46de-ab05-ee196a6ec1ec';Portugal;;1
Chamada recebida;260283/962878547;2025-03-30 08:16:36;0:00:17;0:12:40;2025-03-30 08:29:32;'+35191958****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;Terminal Móvel;'00000011743361300330081636000014041802';'d56c754c-886e-4a56-9182-6b3e5a35de5e';Portugal;;1
Chamada recebida;260283/962878547;2025-03-29 15:51:02;0:00:17;0:12:39;2025-03-29 16:03:58;'+35191577****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;Terminal Móvel;'00000011743227970329155102000014041802';'f4aeb9fc-1f79-43df-a8d3-5b2633522d97';Portugal;;1
Chamada efetuada;260283/962878547;2025-03-21 09:06:15;0:00:09;0:00:42;2025-03-21 09:07:06;'962878547';'+35191403****';'91403****';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;VoLTE;'00000011742556900321090615000014041800';'5022fc2a-0a5f-48de-b283-f803ea919810';Portugal;;0
Chamada Não Atendida;260283/962878547;2025-03-20 20:50:58;0:00:34;;2025-03-20 20:51:32;'+35191403****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742583900320205058000014041802';'294399f9-bb13-4005-82c5-2223c1eb1b57';;Canceladas pela origem;4
Chamada Não Atendida;260283/962878547;2025-03-20 20:50:05;0:00:04;;2025-03-20 20:50:09;'+35191403****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742553970320205005000014041802';'e507b2a7-2697-4a8e-80e1-2878cca45bb4';;Canceladas pela origem;0
Chamada Não Atendida;260283/962878568;2025-03-20 20:49:57;0:00:07;;2025-03-20 20:50:05;'+35191403****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742577760320204957000014041802';'e507b2a7-2697-4a8e-80e1-2878cca45bb4';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-03-20 20:49:11;0:00:46;;2025-03-20 20:49:57;'+35191403****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742518750320204911000014041802';'e507b2a7-2697-4a8e-80e1-2878cca45bb4';;Sem Resposta;0
Chamada recebida;260283/962878547;2025-03-19 20:22:07;0:00:13;0:00:26;2025-03-19 20:22:45;'+35191403****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;Terminal Móvel;'00000011742471520319202207000014041802';'131fbd83-e15e-4e36-a2bc-225bdefc6666';Portugal;;1
Chamada recebida;260283/962878547;2025-03-18 09:03:03;0:00:13;0:01:30;2025-03-18 09:04:45;'+35193844****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;Terminal Móvel;'00000011742238080318090303000014041802';'6a69f448-b533-4aa1-a8ec-78eb0e7eaa73';Portugal;;1
Chamada efetuada;260283/962878547;2025-03-16 17:30:52;0:00:14;0:00:31;2025-03-16 17:31:37;'962878547';'+35196197****';'96197****';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;VoLTE;'00000011742123200316173052000014041800';'f2c7ae1d-2f70-46aa-a885-835c09cde217';Portugal;;0
Chamada Não Atendida;260283/962878547;2025-03-16 13:14:08;0:00:07;;2025-03-16 13:14:15;'+35191962****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742185700316131408000014041802';'60cbe5b7-a0b3-4034-ac22-c8f8926d2636';;Canceladas pela origem;1
Chamada Não Atendida;260283/962878568;2025-03-16 13:10:34;0:00:07;;2025-03-16 13:10:42;'+35191753****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742149520316131034000014041802';'44a4d3ae-0005-45b0-840b-28eaee52fc7b';;Sem Resposta;12
Chamada Não Atendida;260283/962878547;2025-03-16 13:10:27;0:00:07;;2025-03-16 13:10:34;'+35191753****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742173830316131027000014041802';'44a4d3ae-0005-45b0-840b-28eaee52fc7b';;Sem Resposta;0
Chamada Não Atendida;260283/962878568;2025-03-16 13:10:19;0:00:07;;2025-03-16 13:10:27;'+35191753****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742198130316131019000014041802';'44a4d3ae-0005-45b0-840b-28eaee52fc7b';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-03-16 13:10:12;0:00:07;;2025-03-16 13:10:19;'+35191753****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742121380316131012000014041802';'44a4d3ae-0005-45b0-840b-28eaee52fc7b';;Sem Resposta;0
Chamada Não Atendida;260283/962878568;2025-03-16 13:09:53;0:00:08;;2025-03-16 13:10:01;'+35191753****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742130030316130953000014041802';'b88b2bdc-3c64-4861-a488-a6c712892bac';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-03-16 13:09:45;0:00:08;;2025-03-16 13:09:52;'+35191753****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742153040316130945000014041802';'b88b2bdc-3c64-4861-a488-a6c712892bac';;Sem Resposta;0
Chamada Não Atendida;260283/962878568;2025-03-16 13:09:37;0:00:07;;2025-03-16 13:09:45;'+35191753****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742178620316130937000014041802';'b88b2bdc-3c64-4861-a488-a6c712892bac';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-03-16 13:09:30;0:00:07;;2025-03-16 13:09:37;'+35191753****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742103310316130930000014041802';'b88b2bdc-3c64-4861-a488-a6c712892bac';;Sem Resposta;0
Chamada Não Atendida;260283/962878568;2025-03-16 13:07:19;0:00:07;;2025-03-16 13:07:27;'+35191753****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742199710316130719000014041802';'b53616d4-1cc1-4b7f-a17d-a291097fd56e';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-03-16 13:07:12;0:00:07;;2025-03-16 13:07:19;'+35191753****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742124120316130712000014041802';'b53616d4-1cc1-4b7f-a17d-a291097fd56e';;Sem Resposta;0
Chamada Não Atendida;260283/962878568;2025-03-16 13:07:04;0:00:07;;2025-03-16 13:07:12;'+35191753****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742149420316130704000014041802';'b53616d4-1cc1-4b7f-a17d-a291097fd56e';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-03-16 13:06:57;0:00:07;;2025-03-16 13:07:04;'+35191753****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742172770316130657000014041802';'b53616d4-1cc1-4b7f-a17d-a291097fd56e';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-03-16 10:28:51;0:00:04;;2025-03-16 10:28:55;'+35191403****';'+351962878547';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742114410316102851000014041800';'5eb31513-21ff-46ca-a8cb-4d4f49b74067';;Canceladas pela origem;1
Chamada efetuada;260283/962878547;2025-03-16 10:27:58;0:00:22;;2025-03-16 10:28:21;'962878547';'+35191403****';'91403****';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;VoLTE;'00000011742187460316102758000014041800';'02652705-78e1-4f0b-a205-e5e27d2ceea0';Portugal;;0
Chamada efetuada;260283/962878547;2025-03-16 10:26:16;0:00:12;0:01:11;2025-03-16 10:27:40;'962878547';'+35196525****';'96525****';Chamada voz;'+351962878547';Nacional;Atendida;Móvel GSM;VoLTE;'00000011742168070316102616000014041800';'6d4f15cc-7a92-485b-99ce-6b687fdb6318';Portugal;;0
Chamada Não Atendida;260283/962878547;2025-03-15 23:34:18;0:00:24;;2025-03-15 23:34:42;'+35196525****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742082570315233418000014041802';'8b67ab9d-25ed-4a5f-9daf-819f827986e5';;Canceladas pela origem;4
Chamada Não Atendida;260283/962878547;2025-03-15 23:33:47;0:00:04;;2025-03-15 23:33:51;'+35196525****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742072540315233347000014041802';'fffe0cb8-7048-4ae7-8604-05f86c16e323';;Canceladas pela origem;0
Chamada Não Atendida;260283/962878568;2025-03-15 23:33:39;0:00:07;;2025-03-15 23:33:47;'+35196525****';'403';'962878568';Chamada voz;'+351962878568';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742096560315233339000014041802';'fffe0cb8-7048-4ae7-8604-05f86c16e323';;Sem Resposta;0
Chamada Não Atendida;260283/962878547;2025-03-15 23:32:53;0:00:46;;2025-03-15 23:33:39;'+35196525****';'402';'962878547';Chamada voz;'+351962878547';Nacional;Não atendida;Móvel GSM;Desconhecido;'00000011742037410315233253000014041802';'fffe0cb8-7048-4ae7-8604-05f86c16e323';;Sem Resposta;0
